,,Rainfall,Observation,Linear Reg,Lasso Reg,Ridge Reg,MLP,SVM
8/27/2009,46310.4,0,5.8,890.46,850.622,890.488,-38.8686,90.806
8/28/2009,46310.4,0,6.2,-78.6657,54.725,-78.6428,11.5502,91.3223
8/29/2009,45964.79,17.05,15,1321.88,1217.05,1321.94,276.042,149.764
8/30/2009,45964.79,0.76,26,-192.153,30.2394,-192.197,88.8669,99.9869
8/31/2009,45964.79,24.31,41,-4.06782,22.8263,-4.28801,50.0718,114.771
9/1/2009,45619.18,0,26,8.04822,17.8842,7.86038,1.63956,102.514
9/2/2009,45619.18,0,16,21.0497,16.4016,20.9098,-30.4774,91.9192
9/3/2009,45616.5,0,13,-6.67398,15.4132,-6.75585,-2.86778,78.3175
9/4/2009,45273.6,0,11,-52.762,14.2271,-52.8036,-35.3688,73.0292
9/5/2009,45273.6,0,8.6,-44.4538,13.3869,-44.4964,-29.5675,77.1067
9/6/2009,44927.99,0,6.9,-63.2555,12.8927,-63.3043,-39.6698,78.5158
9/7/2009,44927.99,0,5.9,-54.8867,46.8849,-54.8958,-21.8637,82.2511
9/8/2009,44927.99,0,5.1,219.642,351.314,219.713,-131.701,87.4925
9/9/2009,44582.39,0.7,5.8,-105.34,13.2881,-105.474,88.0528,95.1998
9/10/2009,44582.39,6.89,6.7,-52.5257,12.5468,-52.6779,52.6243,98.5864
9/11/2009,44582.39,0,5.2,-62.3516,12.0526,-62.444,-0.395866,86.0148
9/12/2009,44236.83,0,4.2,-90.7624,12.0032,-90.8122,15.2795,89.7265
9/13/2009,44236.83,0,4.1,-115.622,11.9043,-115.619,3.72515,80.7958
9/14/2009,43891.2,0,3.9,44.4508,266.125,44.5761,2.05202,50.0534
9/15/2009,43891.2,0,3.4,-59.7254,161.195,-59.6214,144.045,69.1041
9/16/2009,43891.2,5.18,3.8,792.559,842.855,792.633,-64.6323,89.975
9/17/2009,43545.6,3.04,4.4,-32.4383,256.306,-32.3092,25.3875,74.1614
9/18/2009,43545.6,16.91,5.4,-44.6255,233.22,-44.4852,65.0058,55.4162
9/19/2009,43545.6,4.96,6.4,649.393,745.012,649.47,-133.125,88.7739
9/20/2009,43199.98,4.48,9.2,25.4492,200.51,25.4979,111.822,74.1113
9/21/2009,43199.98,14.87,8.8,-167.13,13.5846,-167.114,90.8549,95.581
9/22/2009,42854.39,3.79,7.3,-188.202,14.2765,-188.17,109.351,96.5806
9/23/2009,42854.39,0,8.7,-186.428,16.4016,-186.344,62.3325,82.4254
9/24/2009,42854.39,0,13,340.982,415.779,341.033,-10.8786,114.854
9/25/2009,42508.8,0,10,1362.52,1206.19,1362.38,226.397,146.004
9/26/2009,42508.8,8.16,8,12.3315,20.8494,12.1798,-11.3594,87.2211
9/27/2009,42508.8,24.27,22,45.8082,28.7568,45.7527,43.0059,88.268
9/28/2009,42163.22,0,38,118.055,26.7799,117.862,39.0888,101.907
9/29/2009,42163.22,0,34,101.701,19.861,101.502,37.4344,97.3104
9/30/2009,41817.61,0,20,60.9514,16.8958,60.7814,60.8964,89.6038
10/1/2009,41817.61,0,14,16.0106,15.4132,15.8139,18.5061,87.6646
10/2/2009,41817.61,0,11,14.8516,14.3259,14.7847,22.844,77.3129
10/3/2009,41471.98,0,8.8,1212.29,991.123,1212.13,147.579,125.724
10/4/2009,41471.98,0,7.2,231.293,306.864,231.083,84.0353,46.3683
10/5/2009,41471.98,19.9,8.3,398.14,442.303,398.02,-165.081,53.3129
10/6/2009,41126.39,5.96,9,-20.4213,26.2739,-20.4147,-4.52509,86.1336
10/7/2009,41126.39,8.71,29,6.20749,28.2625,6.08722,34.0933,93.1912
10/8/2009,40783.48,0.04,37,-103.175,49.0192,-103.171,111.568,113.631
10/9/2009,40780.8,0,79,-112.74,28.7568,-112.818,107.874,95.0593
10/10/2009,40780.8,0,38,1271.82,1094.72,1271.6,167.29,173.751
10/11/2009,40435.21,0,22,4633.29,3590.59,4632.82,5480.68,4426.11
10/12/2009,40435.21,21.86,463,1490.94,1332.78,1490.8,2367.91,1850.92
10/13/2009,40435.21,68.23,1450,730.637,655.256,730.378,953.975,718.659
10/14/2009,40089.6,12.34,589,391.473,401.375,391.218,594.252,428.218
10/15/2009,40089.6,7.21,455,234.62,169.576,234.282,247.114,326.055
10/16/2009,40083.98,3.39,313,289.179,149.571,288.827,148.998,280.513
10/17/2009,39743.98,0.1,193,227.328,66.8106,227.139,95.1619,174.387
10/18/2009,39743.98,0.9,115,164.626,48.525,164.525,50.3163,134.442
10/19/2009,39629.68,0,78,72.5703,38.6409,72.602,-28.2763,112.196
10/20/2009,39398.4,0,58,14.3342,32.7104,14.4056,68.3316,107.408
10/21/2009,39398.4,0,46,-23.7587,29.251,-23.7506,154.565,102.285
10/22/2009,39218.96,0,39,73.8747,241.453,73.9356,-126.389,99.2062
10/23/2009,39052.82,0,33,27.1528,39.0523,27.0758,-3.15857,97.153
10/24/2009,39052.82,4.38,31,-9.94396,23.3205,-10.1975,27.3095,122.996
10/25/2009,38807.61,0.28,27,533.107,508.684,532.923,-13.6553,80.6391
10/26/2009,38707.19,0,30,2663.06,2118.05,2662.82,2036.47,1512.88
10/27/2009,38707.19,9.85,42,325.758,360.775,325.639,469.75,449.971
10/28/2009,38527.77,42.49,680,212.383,263.505,212.254,507.627,357.934
10/29/2009,38361.6,0.3,513,81.7639,160.423,81.622,165.038,196.055
10/30/2009,38361.6,0,208,311.397,380.249,311.417,50.0145,193.604
10/31/2009,38247.28,0.97,122,3.79582,54.9497,3.54297,112.64,156.464
11/1/2009,38016.01,6.31,91,94.2041,59.8918,94.0478,13.1956,152.159
11/2/2009,38016.01,0,101,48.136,65.8222,48.0766,82.0125,146.851
11/3/2009,37990.59,0,113,47.589,51.9844,47.4875,18.8069,134.537
11/4/2009,37670.38,0,85,17.5077,42.1003,17.6071,2.95489,109.119
11/5/2009,37670.38,0,65,39.6382,35.6756,39.6931,15.6,103.637
11/6/2009,37670.38,0,52,-10.4026,32.2162,-10.2864,-16.2071,96.7524
11/7/2009,37360.03,0,45,-47.4422,29.7452,-47.3687,50.3835,97.047
11/8/2009,37324.82,0,40,806.342,738.61,806.261,-146.817,112.516
11/9/2009,37324.82,0,37,5926.76,4551.06,5926.22,6636.22,4246.29
11/10/2009,37264.5,14.46,157,7242.3,6411.37,7241.97,7758.71,4701.16
11/11/2009,36979.21,90.86,12100,6790.48,6022.79,6790.17,5815.69,4820.85
11/12/2009,36979.21,8.58,12100,1183.25,1112.06,1183.2,712.271,949.917
11/13/2009,36979.21,0.67,2230,63.7286,149.837,63.7781,338.855,240.379
11/14/2009,36799.76,0,283,-27.443,94.4862,-27.2568,225.56,170.755
11/15/2009,36633.6,0,171,-18.502,64.3396,-18.4767,99.7792,139.346
11/16/2009,36633.6,0,110,-60.442,53.4671,-60.5578,162.866,134.764
11/17/2009,36633.6,0,88,68.4734,197.386,68.3311,250.285,114.211
11/18/2009,36519.29,0,82,-15.2204,48.525,-15.226,66.9625,124.266
11/19/2009,36288,2.99,78,-0.917431,48.0308,-0.936393,47.498,126.062
11/20/2009,36288,0,77,16.6273,47.0424,16.4782,-19.619,146.417
11/21/2009,36288,0,75,1345.17,1110.61,1344.85,639.92,485.269
11/22/2009,36262.58,0,78,-31.0963,82.5661,-31.353,58.1184,240.708
11/23/2009,35977.61,21.62,127,119.511,194.636,119.263,192.252,220.952
11/24/2009,35942.39,0.2,149,59.0743,69.2817,59.0012,73.3682,165.648
11/25/2009,35942.39,2.26,120,41.67,61.8686,41.6893,72.7208,144.19
11/26/2009,35942.39,0,105,52.8213,58.9033,52.8543,77.8971,144.662
11/27/2009,35916.96,0,99,9.55751,54.9497,9.61395,51.5716,129.633
11/28/2009,35697.22,0,91,-34.0576,55.9381,-34.0156,103.849,129.917
11/29/2009,35596.83,0,93,60.24,139.456,60.4942,145.17,124.717
11/30/2009,35596.83,0,95,1487.93,1206.99,1487.93,1081.87,684.961
12/1/2009,35596.83,1.68,112,2694.39,2182.99,2694.22,3992.42,4036.54
12/2/2009,35596.83,23.24,738,2922.87,2584.79,2922.79,2266.51,1573.74
12/3/2009,35591.22,36.81,5210,867.936,771.055,867.793,706.219,768.699
